,Date,adj_close,close,low,high,open,volume
0,2017-05-09,,,,,,
1,2017-05-10,,,,,,
2,2017-05-11,,,,,,
3,2017-05-12,,,,,,
4,2017-05-13,,,,,,
5,2017-05-14,,,,,,
6,2017-05-15,,,,,,
7,2017-05-16,,,,,,
8,2017-05-17,,,,,,
9,2017-05-18,,,,,,
10,2017-05-19,,,,,,
11,2017-05-20,,,,,,
12,2017-05-21,,,,,,
13,2017-05-22,,,,,,
14,2017-05-23,,,,,,
15,2017-05-24,,,,,,
16,2017-05-25,,,,,,
17,2017-05-26,,,,,,
18,2017-05-27,,,,,,
19,2017-05-28,,,,,,
20,2017-05-29,,,,,,
21,2017-05-30,,,,,,
22,2017-05-31,,,,,,
23,2017-06-01,,,,,,
24,2017-06-02,,,,,,
25,2017-06-03,,,,,,
26,2017-06-04,,,,,,
27,2017-06-05,,,,,,
28,2017-06-06,,,,,,
29,2017-06-07,,,,,,
30,2017-06-08,,,,,,
31,2017-06-09,,,,,,
32,2017-06-10,,,,,,
33,2017-06-11,,,,,,
34,2017-06-12,,,,,,
35,2017-06-13,,,,,,
36,2017-06-14,,,,,,
37,2017-06-15,,,,,,
38,2017-06-16,,,,,,
39,2017-06-17,,,,,,
40,2017-06-18,,,,,,
41,2017-06-19,,,,,,
42,2017-06-20,,,,,,
43,2017-06-21,,,,,,
44,2017-06-22,,,,,,
45,2017-06-23,,,,,,
46,2017-06-24,,,,,,
47,2017-06-25,,,,,,
48,2017-06-26,,,,,,
49,2017-06-27,,,,,,
50,2017-06-28,,,,,,
51,2017-06-29,,,,,,
52,2017-06-30,,,,,,
53,2017-07-01,,,,,,
54,2017-07-02,,,,,,
55,2017-07-03,,,,,,
56,2017-07-04,,,,,,
57,2017-07-05,,,,,,
58,2017-07-06,,,,,,
59,2017-07-07,,,,,,
60,2017-07-08,,,,,,
61,2017-07-09,,,,,,
62,2017-07-10,,,,,,
63,2017-07-11,,,,,,
64,2017-07-12,,,,,,
65,2017-07-13,,,,,,
66,2017-07-14,,,,,,
67,2017-07-15,,,,,,
68,2017-07-16,,,,,,
69,2017-07-17,,,,,,
70,2017-07-18,,,,,,
71,2017-07-19,,,,,,
72,2017-07-20,,,,,,
73,2017-07-21,,,,,,
74,2017-07-22,,,,,,
75,2017-07-23,,,,,,
76,2017-07-24,,,,,,
77,2017-07-25,,,,,,
78,2017-07-26,,,,,,
79,2017-07-27,,,,,,
80,2017-07-28,,,,,,
81,2017-07-29,,,,,,
82,2017-07-30,,,,,,
83,2017-07-31,,,,,,
84,2017-08-01,,,,,,
85,2017-08-02,,,,,,
86,2017-08-03,,,,,,
87,2017-08-04,,,,,,
88,2017-08-05,,,,,,
89,2017-08-06,,,,,,
90,2017-08-07,,,,,,
91,2017-08-08,,,,,,
92,2017-08-09,,,,,,
93,2017-08-10,,,,,,
94,2017-08-11,,,,,,
95,2017-08-12,,,,,,
96,2017-08-13,,,,,,
97,2017-08-14,,,,,,
98,2017-08-15,,,,,,
99,2017-08-16,,,,,,
100,2017-08-17,,,,,,
101,2017-08-18,,,,,,
